project,month,name,cost,ingreso,hrs,dif,mes
1,3,1,14283.08,2476903.145,58.25,2462620.065,44621
2,6,2,12403.94,2442117.465,60.51666667,2429713.525,44713
2,6,3,11808.1,2071528.998,51.33333333,2059720.898,44713
3,11,4,5251.16,2051573.333,44.83333333,2046322.173,44866
1,3,5,11370.13,2044596.73,48.08333333,2033226.6,44621
1,2,1,12290.79,1988863.33,46.5,1976572.54,44593
4,7,5,10476.74,1988578.39,58.25,1978101.65,44743
1,3,6,3097.68,1842617.504,43.33333333,1839519.824,44621
1,2,5,6172.43,1771442.786,41.41666667,1765270.356,44593
1,1,1,12309.84,1569806.045,37,1557496.205,44562
5,3,7,2126.94,1491811.479,35.08333333,1489684.539,44621
1,1,5,4560.93,1336456.498,31.5,1331895.568,44562
5,3,8,3725.78,1279201.767,30.08333333,1275475.987,44621
3,11,9,4397.1,1239333.333,27.08333333,1234936.233,44866
6,10,10,3294.35,1135677.348,34.5,1132382.998,44835
1,3,11,945.86,1126831.474,26.5,1125885.614,44621
4,7,12,3941.26,1069678.79,31.33333333,1065737.53,44743
1,4,5,4351.52,1053258.114,24.83333333,1048906.594,44652
5,3,13,3184.91,974461.18,22.91666667,971276.27,44621
4,7,1,7674.83,793724.4216,23.25,786049.5916,44743
7,3,14,2734.94,778500,43.25,775765.06,44621
1,1,4,5327.7,763689.4272,18,758361.7272,44562
1,3,10,1629.68,729960.0112,17.16666667,728330.3312,44621
8,7,7,2270.83,704990,29,702719.17,44743
9,12,15,0,657897.328,30.25,657897.328,44896
9,12,16,0,656084.9387,30.16666667,656084.9387,44896
1,2,4,6734.75,652261.6296,15.25,645526.8796,44593
10,1,7,1966.45,643142.3307,31.83333333,641175.8807,44562
1,2,6,1735.38,627311.7312,14.66666667,625576.3512,44593
11,11,4,3170.43,604123.6872,25.58333333,600953.2572,44866
11,9,4,6889.53,567160.0088,24.25,560270.4788,44805
5,4,13,1504.33,565507.712,13.33333333,564003.382,44652
4,8,5,3256.64,537123.7872,15.75,533867.1472,44774
3,12,9,0,533866.6667,11.66666667,533866.6667,44896
7,1,14,7544.52,516000,28.66666667,508455.48,44562
10,2,8,4508.2,487117.064,23.91666667,482608.864,44593
1,3,17,2323.72,480497.9491,11.3,478174.2291,44621
10,1,8,3236.04,469729.608,23.25,466493.568,44562
3,12,4,0,469040,10.25,469040,44896
1,4,1,3603.53,466543.8624,11,462940.3324,44652
1,3,4,5444.54,460654.376,10.83333333,455209.836,44621
3,7,18,919.41,457600,10,456680.59,44743
6,5,8,2210.59,454959.738,14.75,452749.148,44682
5,4,8,3612.15,452406.1696,10.66666667,448794.0196,44652
1,3,19,1882.97,447897.7933,10.53333333,446014.8233,44621
6,5,13,2150,447248.556,14.5,445098.556,44682
7,3,10,2633.87,444000,24.66666667,441366.13,44621
2,6,20,4113.23,440536.1993,10.91666667,436422.9693,44713
1,2,17,1878.58,436266.7949,10.2,434388.2149,44593
7,2,14,3479.97,417000,23.16666667,413520.03,44593
1,4,6,909.48,413527.5144,9.75,412618.0344,44652
4,6,21,5258.4,405850.5792,12,400592.1792,44713
10,2,7,1637.23,395464.376,19.41666667,393827.146,44593
9,11,15,2929.01,385336.8144,17.95,382407.8044,44866
11,8,4,4735.76,380817.9232,16.75,376082.1632,44774
1,2,19,2297.28,370684.2048,8.666666667,368386.9248,44593
12,1,22,1077.72,365333.3333,22.83333333,364255.6133,44562
12,2,22,1821.85,358666.6667,22.41666667,356844.8167,44593
4,7,4,3640.98,344231.7384,10.08333333,340590.7584,44743
1,4,23,873.81,339304.6272,8,338430.8172,44652
1,4,10,914.61,339304.6272,8,338390.0172,44652
6,6,24,941.77,338208.816,11,337267.046,44713
1,1,19,1390.75,333760.5645,7.866666667,332369.8145,44562
5,3,25,2424.3,329545.0536,7.75,327120.7536,44621
4,7,21,3295.63,304403.2728,8.916666667,301107.6428,44743
1,2,22,521.94,299398.7808,7,298876.8408,44593
13,2,10,2001.69,298719.872,29.33333333,296718.182,44593
8,12,26,0,297797.5,12.25,297797.5,44896
8,12,6,0,297797.5,12.25,297797.5,44896
11,12,4,0,293063.3552,12.25,293063.3552,44896
5,5,8,1010.88,291482.6796,6.75,290471.7996,44682
9,11,16,8074.08,288018.696,13.41666667,279944.616,44866
6,1,27,2770.54,285878.4496,9.433333333,283107.9096,44562
2,6,21,4234.24,282481.227,7,278246.987,44713
14,11,22,1571.84,272365.506,16.91666667,270793.666,44866
4,6,5,6739.13,267748.646,7.916666667,261009.516,44713
3,11,25,958.94,263120,5.75,262161.06,44866
4,8,21,1646.12,252931.3072,7.416666667,251285.1872,44774
7,5,14,2097.61,252000,14,249902.39,44682
5,5,13,812.11,244701.5088,5.666666667,243889.3988,44682
2,6,17,1385.08,242126.766,6,240741.686,44713
15,2,28,2229.34,241012.624,11.83333333,238783.284,44593
6,6,8,1792.18,238283.484,7.75,236491.304,44713
6,5,27,1485.41,237504.4056,7.7,236018.9956,44682
14,11,6,2712.67,237481.254,14.75,234768.584,44866
6,1,8,1403.15,237390.232,7.833333333,235987.082,44562
6,4,27,1295.13,224688.332,7.416666667,223393.202,44652
11,8,10,596.05,223564.7509,9.833333333,222968.7009,44774
11,10,21,1515.67,223295.0148,9.25,221779.3448,44835
2,6,15,1457.28,218586.6637,5.416666667,217129.3837,44713
16,5,6,1486.07,218547.7499,14.91666667,217061.6799,44682
1,1,6,381.84,215671.5512,5.083333333,215289.7112,44562
17,7,4,3971.27,211556.3952,20.45,207585.1252,44743
9,11,27,3095.51,208947.7248,9.733333333,205852.2148,44866
5,3,17,993.15,205522.7216,4.833333333,204529.5716,44621
18,7,29,1586.15,204314.856,19.75,202728.706,44743
16,4,6,1361.27,195466.2259,13.58333333,194104.9559,44652
6,4,8,1904.7,194393.276,6.416666667,192488.576,44652
8,12,30,0,192454.1667,7.916666667,192454.1667,44896
17,2,4,4499.2,190943.1,18.75,186443.9,44593
17,5,4,3104.08,190209.156,18.5,187105.076,44682
6,2,27,1178.47,184832.9208,6.05,183654.4508,44593
5,4,25,1459.98,183790.0064,4.333333333,182330.0264,44652
17,4,4,4707.29,183453.3947,18.16666667,178746.1047,44652
8,8,7,585.21,182325,7.5,181739.79,44774
16,1,6,1095.51,177537.5884,12.33333333,176442.0784,44562
11,10,4,1735.09,175015.0116,7.25,173279.9216,44835
15,1,28,1740.27,171729.104,8.5,169988.834,44562
11,12,21,0,171452.0309,7.166666667,171452.0309,44896
19,1,12,283.05,170996.7299,4,170713.6799,44562
17,6,4,4251.74,168250.3453,16.41666667,163998.6053,44713
1,1,12,306.71,162637.5632,3.833333333,162330.8532,44562
7,6,14,982.37,160500,8.916666667,159517.63,44713
19,1,18,414.8,160309.4343,3.75,159894.6343,44562
3,7,25,2677.28,160160,3.5,157482.72,44743
3,8,18,385.13,160160,3.5,159774.87,44774
3,10,4,3961.83,160160,3.5,156198.17,44835
1,4,4,1704.76,159049.044,3.75,157344.284,44652
5,4,7,255.65,159049.044,3.75,158793.394,44652
8,12,25,0,158015,6.5,158015,44896
1,4,19,811.13,156928.3901,3.7,156117.2601,44652
7,4,14,1346.29,156000,8.666666667,154653.71,44652
